,PHS_9-12,PHB_10-15,Bog1_18-22,SOS_12-17,S1_12-15,S2_12-15,S3_13-16,EOS_5-10,E1_5-8,E2_5-8,E3_5-8,Fen1_5-8,Fen2_0-10
4000,0.000155409,0.000219324,0.000697429,0.000461217,0.000829538,0.000154729,0.000386678,0.000159331,0.000350415,0.000396483,0.000274771,0.000307732,0.000356197
3999,0.00023946,0.000158314,0.000752217,0.000423238,0.000803457,0.000133876,0.000317711,0.00015006,0.000353617,0.000375804,0.000251371,0.000254845,0.000309532
3998,0.000287792,0.0001195,0.000807043,0.000384978,0.000777316,0.000114738,0.000233018,0.000142123,0.000366932,0.000354933,0.000205592,0.000206385,0.000273217
3997,0.000287822,0.00010296,0.000861708,0.000346118,0.000751397,0.000100793,0.000169259,0.000138905,0.000398305,0.000350472,0.00014013,0.000171887,0.000269595
3996,0.000240833,0.000115479,0.000935711,0.000340929,0.000717548,0.000106906,0.000144932,0.000138136,0.000450909,0.000364975,9.19346E-05,0.000178379,0.000300977
3995,0.000175568,0.000170533,0.001014327,0.000373532,0.000730139,0.000145822,0.00015723,0.000138675,0.000517133,0.000387608,0.000101148,0.00024765,0.000355219
3994,0.000134024,0.000261113,0.00109404,0.000427575,0.00080866,0.000212051,0.00019506,0.000149985,0.000582778,0.000405253,0.000169739,0.000372399,0.000415685
3993,0.00013791,0.000346872,0.001176048,0.000476187,0.000917363,0.000277641,0.000247595,0.000183056,0.000628645,0.000405675,0.000250641,0.000507889,0.000464482
3992,0.000173702,0.00038334,0.001256197,0.00049792,0.000903301,0.000310288,0.000306503,0.000238475,0.000638289,0.000381583,0.000287653,0.00059628,0.0004876
3991,0.000213181,0.000363625,0.001322826,0.000492658,0.00091719,0.000299968,0.000367282,0.000305785,0.000613812,0.000340078,0.000270244,0.000607396,0.000487018
3990,0.000240916,0.000324465,0.001366107,0.000485679,0.00088528,0.000268873,0.000431573,0.000375106,0.00058442,0.000308425,0.000247421,0.000564735,0.000487066
3989,0.000259639,0.00030796,0.001386343,0.000510474,0.000860908,0.000248958,0.000498744,0.00044165,0.000582502,0.000314849,0.000277543,0.000525825,0.000514275
3988,0.000278385,0.0003204,0.001387829,0.000576356,0.00088551,0.000249945,0.000551884,0.000496944,0.000606648,0.000357853,0.000366703,0.000530095,0.000565363
3987,0.000303792,0.000331743,0.00136754,0.000651944,0.000949545,0.000257254,0.000563589,0.000526086,0.000622095,0.000405569,0.0004682,0.000569893,0.000603866
